Date,Team_home,FGA_home,FGM_home,FG%_home,3PA_home,3PM_home,3P%_home,FTA_home,FTM_home,FT%_home,OREB_home,DREB_home,REB_home,AST_home,TO_home,STL_home,BLK_home,PF_home,Points_home,Team_away,FGA_away,FGM_away,FG%_away,3PA_away,3PM_away,3P%_away,FTA_away,FTM_away,FT%_away,OREB_away,DREB_away,REB_away,AST_away,TO_away,STL_away,BLK_away,PF_away,Points_away,Point_diff
2024-10-31,UTA,82,32,0.3902439024390244,32,7,0.21875,19,17,0.8947368421052632,15,38,53,19,6,6,26,19,88,SAS,92,38,0.41304347826086957,43,12,0.27906976744186046,23,18,0.782608695652174,11,31,42,25,17,7,11,17,106,-18
2024-10-31,MEM,82,43,0.524390243902439,28,8,0.2857142857142857,31,28,0.9032258064516129,7,49,56,26,6,3,16,21,122,MIL,96,41,0.4270833333333333,42,9,0.21428571428571427,19,8,0.42105263157894735,9,29,38,20,10,4,10,27,99,23
2024-10-31,LAC,93,45,0.4838709677419355,35,12,0.34285714285714286,21,17,0.8095238095238095,15,33,48,27,8,8,14,22,119,PHX,82,42,0.5121951219512195,39,18,0.46153846153846156,28,23,0.8214285714285714,8,31,39,29,12,4,12,20,125,-6
2024-10-31,DAL,85,39,0.4588235294117647,30,10,0.3333333333333333,20,14,0.7,10,27,37,21,6,7,10,27,102,HOU,97,40,0.41237113402061853,34,8,0.23529411764705882,27,20,0.7407407407407407,18,32,50,21,4,4,8,20,108,-6
2024-10-30,WAS,89,47,0.5280898876404494,38,16,0.42105263157894735,25,23,0.92,6,31,37,32,10,5,14,21,133,ATL,95,45,0.47368421052631576,39,12,0.3076923076923077,21,18,0.8571428571428571,12,29,41,28,10,3,15,19,120,13
2024-10-30,PHI,79,33,0.4177215189873418,28,8,0.2857142857142857,28,21,0.75,8,29,37,17,7,4,9,21,95,DET,78,36,0.46153846153846156,36,15,0.4166666666666667,22,18,0.8181818181818182,12,37,49,23,4,5,16,25,105,-10
2024-10-30,OKC,89,41,0.4606741573033708,41,17,0.4146341463414634,8,6,0.75,5,34,39,28,18,6,10,15,105,SAS,85,35,0.4117647058823529,36,12,0.3333333333333333,13,11,0.8461538461538461,13,39,52,22,6,6,22,8,93,12
2024-10-30,MIA,81,37,0.4567901234567901,40,17,0.425,24,16,0.6666666666666666,7,32,39,27,6,3,10,17,107,NYK,82,40,0.4878048780487805,40,18,0.45,20,18,0.9,7,35,42,30,8,4,9,16,116,-9
2024-10-30,MEM,81,38,0.4691358024691358,27,8,0.2962962962962963,29,22,0.7586206896551724,12,26,38,27,9,3,22,21,106,BKN,80,41,0.5125,41,15,0.36585365853658536,25,22,0.88,8,26,34,27,10,2,15,25,119,-13
2024-10-30,LAC,90,41,0.45555555555555555,36,13,0.3611111111111111,18,10,0.5555555555555556,13,36,49,26,10,5,13,19,105,POR,92,41,0.44565217391304346,33,14,0.42424242424242425,12,10,0.8333333333333334,12,35,47,19,9,6,12,18,106,-1
2024-10-30,IND,104,50,0.4807692307692308,38,15,0.39473684210526316,24,20,0.8333333333333334,16,41,57,33,10,5,18,26,135,BOS,109,44,0.4036697247706422,57,19,0.3333333333333333,31,25,0.8064516129032258,18,33,51,23,11,5,14,19,132,3
2024-10-30,GSW,87,41,0.47126436781609193,38,13,0.34210526315789475,13,9,0.6923076923076923,13,29,42,32,5,9,13,22,104,NOP,90,33,0.36666666666666664,36,11,0.3055555555555556,20,12,0.6,18,31,49,24,7,6,14,17,89,15
2024-10-30,CLE,97,56,0.5773195876288659,41,17,0.4146341463414634,8,5,0.625,6,30,36,37,14,2,12,26,134,LAL,77,38,0.4935064935064935,28,6,0.21428571428571427,33,28,0.8484848484848485,5,32,37,21,6,0,20,7,110,24
2024-10-30,CHI,84,36,0.42857142857142855,34,13,0.38235294117647056,25,17,0.68,9,45,54,23,6,2,14,16,102,ORL,86,35,0.4069767441860465,46,11,0.2391304347826087,20,18,0.9,6,36,42,25,9,8,12,19,99,3
2024-10-30,CHA,94,49,0.5212765957446809,45,20,0.4444444444444444,25,20,0.8,14,24,38,31,9,8,15,24,138,TOR,91,52,0.5714285714285714,28,9,0.32142857142857145,30,20,0.6666666666666666,13,28,41,37,9,5,14,25,133,5
2024-10-29,UTA,89,35,0.39325842696629215,48,14,0.2916666666666667,14,12,0.8571428571428571,12,30,42,24,7,4,17,16,96,SAC,92,48,0.5217391304347826,31,8,0.25806451612903225,14,9,0.6428571428571429,9,40,49,26,9,9,11,19,113,-17
2024-10-29,MIN,77,39,0.5064935064935064,39,19,0.48717948717948717,26,17,0.6538461538461539,11,31,42,33,5,2,20,20,114,DAL,93,45,0.4838709677419355,39,16,0.41025641025641024,18,14,0.7777777777777778,12,28,40,25,12,2,9,21,120,-6
